ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM001_/PSM001__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM002_/PSM002__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM003_/PSM003__MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM004_/PSM004__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM005_/PSM005__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM006_/PSM006__MLST/mlst_report.tsv	14	1	1	2	1	5	5	3
PSM007_/PSM007__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM008_/PSM008__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM009_/PSM009__MLST/mlst_report.tsv	ND	ND	ND	ND	ND	ND	ND	ND
PSM010_/PSM010__MLST/mlst_report.tsv	44	2	5	2	1	1	3	1
PSM011_/PSM011__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM012_/PSM012__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM013_/PSM013__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM014_/PSM014__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM015_/PSM015__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM016_/PSM016__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM017_/PSM017__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM018_/PSM018__MLST/mlst_report.tsv	ND	ND	ND	ND	ND	ND	ND	ND
PSM019_/PSM019__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM020_/PSM020__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM021_/PSM021__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM022_/PSM022__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM023_/PSM023__MLST/mlst_report.tsv	54	1	4	7	1	1	3	3
PSM024_/PSM024__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM025_/PSM025__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM026_/PSM026__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM027_/PSM027__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM028_/PSM028__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM029_/PSM029__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM030_/PSM030__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM031_/PSM031__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM032_/PSM032__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM033_/PSM033__MLST/mlst_report.tsv	55	1	1	6	6	1	12	12
PSM034_/PSM034__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM035_/PSM035__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM036_/PSM036__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM037_/PSM037__MLST/mlst_report.tsv	34	1	5	7	1	1	3	1
PSM038_/PSM038__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM039_/PSM039__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM040_/PSM040__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM041_/PSM041__MLST/mlst_report.tsv	ND	ND	ND	ND	ND	ND	ND	ND
PSM042_/PSM042__MLST/mlst_report.tsv	115	1	1	2	6	1	7	3
PSM043_/PSM043__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM044_/PSM044__MLST/mlst_report.tsv	365	1	1	9	23	14	3	2
PSM045_/PSM045__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM046_/PSM046__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM047_/PSM047__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM048_/PSM048__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM049_/PSM049__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM050_/PSM050__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM051_/PSM051__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM052_/PSM052__MLST/mlst_report.tsv	6	2	1	6	1	1	5	1
PSM053_/PSM053__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM054_/PSM054__MLST/mlst_report.tsv	26	1	1	6	1	4	3	4
PSM055_/PSM055__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
